GesID	Ebene
4501	Plain
4502	Shadow-exposed slope
4502	Plain
4502	Sun-exposed slope
4730	Sun-exposed slope
4730	Plain
4730	Shadow-exposed slope
4731	Plain
4731	Shadow-exposed slope
4731	Sun-exposed slope
4732	Sun-exposed slope
4732	Shadow-exposed slope
4732	Plain
4733	Plain
4734	Shadow-exposed slope
4750	Shadow-exposed slope
4750	Sun-exposed slope
4750	Plain
4771	Plain
4771	Sun-exposed slope
4772	Sun-exposed slope
4772	Plain
4773	Plain
4773	Sun-exposed slope
4774	Plain
4775	Plain
4775	Sun-exposed slope
4778	Plain
4779	Plain
4780	Shadow-exposed slope
4780	Plain
4780	Sun-exposed slope
4781	Shadow-exposed slope
4781	Plain
