# Community_BERN5_ID	Plant_BERN5_ID	Plant_is_constant	Charakterart	Community_Name	Plant_Name	is dominant
2413	407	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Prunella grandiflora	
2413	594	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Cladonia pyxidata	
2413	667	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Tortella tortuosa	subdominant
2413	680	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Lotus corniculatus	
2413	693	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Dorycnium germanicum	
2413	707	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Dracocephalum ruyschiana	
2413	727	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Daphne mezereum	
2413	729	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Epipactis atrorubens	
2413	797	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Tortella inclinata	
2413	805	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Hippocrepis comosa	
2413	808	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Buphthalmum salicifolium	
2413	828	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Dryas octopetala	
2413	859	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Viburnum lantana	subdominant
2413	869	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Gentiana lutea	
2413	891	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Sesleria albicans albicans	
2413	909	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Alnus incana	dominant
2413	919	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Molinia arundinacea	
2413	921	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Juniperus communis	
2413	924	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Polygala chamaebuxus	subdominant
2413	929	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Carex ericetorum	
2413	956	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Pyrola chlorantha	
2413	957	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Chimaphila umbellata	
2413	1239	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Leontodon incanus	
2413	1381	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Salix elaeagnos	
2413	1628	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Thesium rostratum	
2413	3027	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Calamagrostis varia	
2413	3052	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Carex flacca	
2413	3104	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Erica carnea	dominant
2413	3198	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Pinus sylvestris sylvestris	dominant
2413	3229	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Potentilla erecta	
2413	3331	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Picea abies	dominant
2413	5030	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Cladina portentosa	
2414	238	1	1	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Berberis vulgaris	dominant
2414	406	1	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Carex humilis	subdominant
2414	514	1	1	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Vincetoxicum hirundinaria	
2414	648	0	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Asperula cynanchica	
2414	693	0	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Dorycnium germanicum	
2414	729	1	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Epipactis atrorubens	
2414	792	1	1	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Rhytidium rugosum	subdominant
2414	808	1	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Buphthalmum salicifolium	subdominant
2414	891	1	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Sesleria albicans albicans	subdominant
2414	921	1	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Juniperus communis	subdominant
2414	923	0	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Rhamnus saxatilis	dominant
2414	924	1	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Polygala chamaebuxus	subdominant
2414	1063	1	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Amelanchier ovalis	dominant
2414	1187	1	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Galium lucidum	
2414	1239	1	1	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Leontodon incanus	
2414	2021	0	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Achnatherum calamagrostis	
2414	3104	1	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Erica carnea	dominant
2414	3198	1	0	Dorycnio germanici-Pinetum sylvestris OBERDORFER 1957	Pinus sylvestris sylvestris	dominant
2415	126	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Quercus robur	dominant
2415	217	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Brachypodium pinnatum	
2415	225	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Euphorbia cyparissias	
2415	231	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Peucedanum oreoselinum	
2415	406	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Carex humilis	
2415	517	1	1	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Campanula rotundifolia	
2415	519	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Cytisus nigricans	dominant
2415	668	0	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Chrysanthemum corymbosum	
2415	719	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Teucrium chamaedrys	dominant
2415	746	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Viola hirta	
2415	792	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Rhytidium rugosum	subdominant
2415	800	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Pulsatilla vulgaris	
2415	805	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Hippocrepis comosa	dominant
2415	826	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Anthericum ramosum	
2415	859	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Viburnum lantana	dominant
2415	921	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Juniperus communis	dominant
2415	924	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Polygala chamaebuxus	dominant
2415	926	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Festuca guestfalica	
2415	927	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Helianthemum ovatum	dominant
2415	930	0	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Viola collina	
2415	931	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Trifolium alpestre	
2415	3198	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Pinus sylvestris sylvestris	dominant
2415	3269	1	0	Cytiso nigricantis-Pinetum sylvestris BRAUN-BLANQUET 1932	Sesleria albicans varia	
2416	123	1	0	Vaccinio vitis-idaeae-Abietetum albae leucobryetosum OBERDORFER 1957	Fagus sylvatica	dominant
2416	138	1	0	Vaccinio vitis-idaeae-Abietetum albae leucobryetosum OBERDORFER 1957	Avenella flexuosa	
