# Community_BERN5_ID	Community_Name	community_Synonyme	Naturalness level	use_type_Text	EUNIS_Code	Natura2000	Sources_plots	account_plots
73	Sphagno-Utricularietum ochroleucae SCHUMACHER 1937	Sphagno-Utricularietum stygiae Oberd. ex Th. Müller et Görs	(semi-)aquatic community	unusable	Q2512	3160v	Pietsch 1963 Tab. XXI +. p. 65 (also Oberdorfer 1998, Table 58/3; Schubert 2001 p. 287; Chytry et al. 2011 tab. 7/9 p.277+302)	40
74	Sphagno-Utricularietum minoris FIJALKOWSKI 1960		(semi-)aquatic community	unusable	Q2512	3160v	Passarge 1996 tab. 9f-k, p. 24 (also: Pujol et al. 2023 p. 102)	41
75	Sphagnetum cuspidato-obesi R. TÜXEN et V. HÜBSCHMANN 1958	included in Eriophorum angustifolium-Sphagnum fallax / cuspidatum-Ass.	(semi-)aquatic community	unusable	Q11111	3160v	Passarge 1964, Table 12f-g (also Oberdorfer 1998 Vol I Table 58/4; Lienenbecker 1971 Tab. 29a + p. 135; Dierßen 1973b Tab. 6Ac + p. 27; Schubert 2001 p. 286)	41
76	Drepanocladetum fluitantis OBERDORFER 1937	Carici rostratae--Drepanocladetum fluitantis Hadač et Váňa 1967	(semi-)aquatic community	unusable	Q2511	3160v	Chytry et al. 2011 tab. 15/11 p. 678+700 (also: Soó 1964b p. 150; Pott 1992, p. 81)	9
77	Utricularietum intermedio-minoris PIETSCH 1965	incl. Utriculario minoris-Aldovandetum vesiculosae PIETSCH 1975	(semi-)aquatic community	unusable	Q2512	3160v	Passarge 1964, Table 12d-e (also Oberdorfer 1998 Vol I Table 58/2b; Schubert 2001 p. 285)	32
78	Utriculario minoris-Aldovandetum vesiculosae PIETSCH 1975		(semi-)aquatic community	unusable	Q2512	3160v	Passarge 1996 tab. 9e, p. 24	5
79	Sphagno-Sparganietum angustifolii R. TÜXEN 1937		(semi-)aquatic community	unusable	Q11111	3160v	Tüxen 1937 p. 43	7
80	Scorpidio-Utricularietum minoris TH. MÜLLER et GÖRS 1960		(semi-)aquatic community	unusable	Q2511	3160v	Braun 1970 p. 118 (also: Oberdorfer 1998 Vol I Table 58/2a; Chytry et al. 2011 tab. 7/10 p. 277+306)	58
81	Sparganietum minimi SCHAAF 1925	Sparganio minimi-Utricularietum intermediae Tüxen 1937	(semi-)aquatic community	unusable	Q514	3160v	Pietsch 1963 Tab. XX + p. 65 (also: Oberdorfer 1998 Vol I Table 58/1; Passarge 1964, Table 12b-c; Tüxen 1937 p.45; Braun 1970 p. 118; Dierßen 1973b Tab. 7b + p. 29; Pott 1982 Tab. 6/1,4 p. 42; Köck 1983 Tab. 11/10-12 + p. 170; Chytry et al. 2011 tab. 7/8 	80
82	Sparganietum simplicis TÜXEN 1953		(semi-)aquatic community	unusable	Q514	3150	Passarge 1964, Table 14a-b	37
