# ART_BERN5_ID	Plant_Name	pH_min	BS_min	CN_min	WI_min	CI_min	VP_min	CWB_min	pH_optmin	BS_optmin	CN_optmin	WI_optmin	CI_optmin	VP_optmin	CWB_optmin	pH_optmax	BS_optmax	CN_optmax	WI_optmax	CI_optmax	VP_optmax	CWB_optmax	pH_max	BS_max	CN_max	WI_max	CI_max	VP_max	CWB_max
230	Hieracium umbellatum	3	3	15	4	4	105	-46	3.4	8	18	14	10	128	-23	4.9	26	28	44	25	197	46	5.4	32	32	55	30	220	69
231	Peucedanum oreoselinum	3	3	12	4	4	115	-46	3.9	22	15	7	9	136	-29	6.6	80	27	19	19	199	19	7.5	100	31	23	23	220	36
232	Linaria vulgaris	3.1	4	15	6	6	140	-46	3.9	23	18	18	8	156	-34	6.6	80	29	54	15	204	0	7.5	100	33	66	18	220	12
233	Corynephorus canescens	3.1	4	12	4	4	115	-46	3.7	14	17	7	10	136	-23	5.8	44	34	16	25	199	46	6.5	55	40	19	30	220	69
234	Artemisia campestris	3.1	4	12	4	4	115	-46	3.8	23	15	8	10	136	-23	6.2	80	27	22	25	199	46	7	100	31	27	30	220	69
235	Rosa canina 	3.1	4	8	4	4	120	-46	4	23	12	15	10	160	-23	7	80	26	48	25	280	46	8	100	31	60	30	320	69
236	Prunus spinosa	3.1	4	8	4	4	120	-46	3.9	23	12	15	10	160	-23	6.6	80	26	48	25	280	46	7.5	100	31	60	30	320	69
237	Rhamnus cathartica	3.8	13	8	8	8	115	-46	4.6	30	13	17	10	144	-23	7.1	82	28	45	25	231	46	8	100	33	55	30	260	69
238	Berberis vulgaris	3.3	6	8	4	4	115	-46	4.2	24	12	7	10	144	-23	7	81	26	19	25	231	46	8	100	31	23	30	260	69
239	Agrimonia eupatoria	4.8	26	12	5	5	145	-46	5.4	40	14	8	8	170	-36	7.3	85	23	19	14	245	-7	8	100	26	23	16	270	2
240	Salvia pratensis	3.3	6	12	4	4	125	-46	4.2	24	15	7	10	144	-23	7	81	27	19	25	201	46	8	100	31	23	30	220	69
241	Medicago falcata	4.8	26	8	5	5	120	-46	5.5	40	11	9	9	140	-29	7.7	85	22	23	19	200	19	8.5	100	26	28	23	220	36
242	Pimpinella saxifraga	3.1	4	8	4	4	90	-46	4	23	12	8	10	116	-23	7	80	26	23	25	194	46	8	100	31	28	30	220	69
243	Dianthus carthusianorum	4.8	26	8	4	4	90	-46	5.3	40	12	8	10	116	-23	6.9	85	26	22	25	194	46	7.5	100	31	27	30	220	69
244	Veronica spicata	4.8	26	8	5	5	140	-46	5.3	40	11	8	10	156	-23	6.9	85	22	19	25	204	46	7.5	100	26	23	30	220	69
245	Acer pseudoplatanus	4.2	19	10	8	8	90	-27	4.9	35	13	17	16	116	2	7.2	83	22	45	34	194	92	8	100	26	55	41	220	122
